Title|Authors|Publisher|Location
Sistem|James Ball|Timaş|1:1:1
Dağınık Zihin (Yüksek Teknoloji Dünyasında Kadim Beyinler)|Adam Gazzaley,Larry D. Rosen|Metis Bilim|1:1:2
Dijital Minimalizim|Cal Newport|Metropolis|1:1:3
İnsanlığın Geleceği|Michio Kaku|ODTÜ Yayıncılık|1:1:4
Uygulamalı Lineer Cebir|Bernard Kolman|Palme Yayıncılık|1:2:1
Kuyucaklı Yusuf|Sabahattin Ali|YKY|1:2:2
Günden Kalanlar|Kazuo Ishiguro|YKY|1:2:3
Karanlıkta Bir Nehir|Masaji Ishikawa|Salt Okur|2:1:8
Sistem Hatası|Edward Snowden|epsilon|2:2:9
Incognito Beynin Gizli Hayatı|David Eagleman|domingo|2:3:10
Doppler|Erlend Loe|YKY|3:2:5
Bildiğimiz Dünyanın Sonu|Erlend Loe|YKY|3:2:1
21.Yüzyıl için 21 Ders|Yuval Noah Harari|Kolekfit Kitap|3:2:3
Dünyayı Değiştiren Konuşmalar|Simon Sebag Montefiore|Indigo|3:3:4
Hayvanlardan Tanrılara Sapiens|Yuval Noah Harari|Kolekfit Kitap|3:5:5
Çocukluğun Sonu|Arthur C. Clarke|İthaki|1:1:16
Cesur Yeni Dünya|Aldous Huxley|İthaki|1:2:16
Televizyon: Öldüren Eğlence|Neil Postman|Ayrıntı|2:2:18
"Canım Aliye| Ruhum Filiz"|Sabahattin Ali|YKY|4:1:1
Yapay Zeka|Cem Say|Bilim ve Gelecek Kitaplığı|4:1:2
Aşka Susamış|Yukio Mişima|Can Yayınları|4:1:3
Mezopotamya Turu|M.Zeki Kutlu|Kırmızı ve Siyah|4:1:4
Veronika Ölmek İstiyor|Paulo Coelho|Can Yayınları|4:1:5
Bir Kuşağı Anlamak|Evrim Kuran|Mundi|4:2:6
Genç Matematikçiye Mektuplar|Ian Stewart|Profil|4:2:7
Service Oriented Architecture For Dummies|Judith Hurwitz,Robin Bloor,Carol Baroudi,Marcia Kaufman|Wiley|5:5:5
